Brand,ScreenSize,Ram,HardDisk,Price
acer,17.3,4,128,328.67
Dell,15.6,64,2000,1000
DELL,16,32,1000,899.99
MSI,15.6,32,1000,1699
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
LG,16,32,2000,1899
acer,14,8,512,499.99
Dell,16,32,1000,1020.33
HP,17.3,32,1000,619.99
Lenovo,13,8,256,799
Dell,13.4,32,1000,1126.85
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,15.6,8,256,499
Lenovo,14,16,256,622.04
Dell,15.6,8,256,748.47
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,15.6,16,1000,2499.99
Dell,13.4,16,1000,1305.17
Razer,15.6,16,1000,1659.68
HP,15.6,8,128,377
Lenovo,14,4,64,299
DELL,15.6,32,1000,939.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
acer,16,16,1000,1649.99
ASUS,16,32,2000,3849.99
ASUS,11.6,4,64,252.54
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,14,8,256,499.99
LG,16,16,1000,1612.99
SAMSUNG,12.2,4,32,447.95
LENOVO,15.6,20,1000,487
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,13.3,4,1000,433.99
HP,15.6,16,512,520
LG,17,16,1000,1399.99
Dell,15.6,16,512,1428.96
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,15.6,16,512,1749.33
HP,14,8,512,608
LG,16,32,2000,1896.99
ASUS,15.6,16,512,999
Asus,14,8,256,357.5
MSI,15.6,16,512,1465.8
LG,16,16,1000,1799
DELL,15.6,32,1000,949.99
HP,14,4,32,150
LG,14,32,1000,1796.99
MSI,15.6,32,1000,1697.23
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Dell,15.6,16,512,1497.99
ASUS,14,16,1000,1099.99
HP,15.6,16,512,699
HP,14,4,64,239
Microsoft,13.5,16,512,1198.99
Lenovo,14,16,512,689
Dell,13.3,16,512,1680.56
Apple,13.3,16,1000,911
DELL,16,32,1000,899.99
MSI,15.66,32,1000,1599
MSI,15.6,32,1000,1699
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,14,4,64,129.99
acer,14,16,512,886.37
SAMSUNG,13.3,16,1000,729
HP,14,8,256,159.99
HP,15.6,32,1000,732
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,15.6,4,128,185.95
acer,14,4,64,204
acer,17.3,16,512,699.99
Lenovo,15.6,8,512,485
Dell,15.6,16,512,1499.99
ASUS,14,4,128,460.48
LG,17,16,512,1199
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,16,16,1000,849
Lenovo,14,4,64,220.69
acer,16,16,512,1241.46
Lenovo,14,8,512,443
HP,14,4,64,225
Panasonic,14,16,1000,655.96
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,15.6,32,1000,689.65
ASUS,17.3,4,64,246
Lenovo,16,32,4000,1949
HP,15.6,16,512,1137.02
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,17.3,4,64,247.36
acer,15.6,16,512,1199
acer,15.6,8,512,450
ASUS,14.5,12,512,689.49
ASUS,15.6,64,4000,2819
ASUS,15.6,16,512,901.56
ASUS,16,16,512,1399.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,14,16,512,979.99
ASUS,15.6,16,512,1259.99
SAMSUNG,14,4,128,345
MSI,16,32,2000,2198.99
Panasonic,13.1,8,240,420
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,16,512,1658.99
Toughbook,13.1,16,256,1550.99
HP,11.6,4,128,245
ASUS,16,16,1000,1646.99
Dell,15.6,16,512,1109.18
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,14,4,64,195
HP,15.6,4,1000,269
Dell,15.6,16,512,1349.99
Dell,14,8,256,835.85
ASUS,12,4,32,278.97
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,15.6,16,512,1576.57
Dell,16,32,512,2549
Gigabyte,17,32,2000,3499.99
HP,14,32,1000,729.99
Lenovo,15.6,8,512,934
acer,15.6,4,64,129.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,13.3,4,64,469.99
acer,17.3,32,2000,1259
ASUS,15.6,32,1000,2299
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,32,1000,2023.03
Corsair,16,32,2000,1699.99
Apple,13.3,8,256,1068.99
ASUS,14,4,64,283.55
Panasonic,14,16,1000,658.94
Alienware,15.6,16,512,1599
Dell,17,32,512,2475
Apple,13,8,1000,1178
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
ASUS,16,8,512,699.99
SAMSUNG,15.6,16,512,1177.42
HP,15.6,8,256,346.9
ASUS,15.6,16,1000,1530.63
ASUS,14,16,512,1211.99
HP,15.6,8,256,423.99
MSI,15.6,32,1000,1499
acer,14,16,1000,1406.88
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
